18676,18712	99	18655,18657,18658,18659,18663,18664,18665,18666,18660,18661,18662,18708,18709,18704,18705,18706,18707,18667,18700,18668,18701,18669,18702,18703,18751,18752,18753,18754,18750,18755,18756,18696,18697,18730,18698,18731,18699,18732,18692,18693,18694,18695,18690,18691,18737,18738,18739,18733,18734,18735,18736,18740,18741,18742,18743,18748,18749,18744,18745,18746,18747,18674,18675,18677,18710,18670,18671,18672,18673,18719,18715,18716,18717,18718,18678,18711,18679,18713,18714,18685,18686,18687,18720,18688,18721,18681,18682,18683,18684,18680,18726,18727,18728,18729,18689,18722,18723,18724,18725	
18738,18740	98	18775,18655,18776,18770,18772,18657,18658,18659,18784,18664,18785,18665,18780,18660,18781,18708,18704,18705,18706,18707,18667,18700,18701,18669,18702,18703,18752,18753,18754,18758,18762,18763,18764,18765,18760,18761,18766,18767,18768,18769,18696,18698,18699,18732,18692,18693,18694,18695,18690,18691,18733,18735,18736,18741,18742,18743,18748,18744,18745,18746,18674,18675,18676,18710,18677,18671,18672,18793,18719,18715,18716,18717,18718,18711,18678,18712,18713,18714,18685,18686,18687,18720,18688,18721,18681,18682,18683,18684,18680,18726,18727,18728,18729,18689,18722,18723,18724,18725	
31494,31515	97	31509,31591,31590,31596,31511,31632,31510,31598,31517,31516,31519,31518,31634,31512,31633,31636,31514,31635,31585,31500,31620,31506,31627,31505,31508,31629,31507,31502,31623,31501,31589,31504,31746,31624,31609,31574,31731,31576,31571,31573,31572,31615,31618,31617,31579,31613,31560,31561,31607,31568,31567,31600,31603,31602,31552,31555,31554,31551,31550,31557,31556,31559,31542,31541,31540,31546,31548,31547,31490,31492,31491,31498,31497,31530,31533,31499,31493,31496,31495,31538,31535,31536,31481,31487,31520,31486,31489,31522,31521,31483,31482,31485,31484,31529,31523,31526,31647	
31519,31551	96	31509,31591,31590,31597,31596,31599,31510,31598,31593,31592,31595,31594,31517,31516,31518,31512,31515,31636,31514,31586,31585,31500,31588,31587,31582,31581,31583,31508,31507,31502,31501,31504,31574,31577,31576,31570,31573,31572,31615,31578,31564,31563,31566,31565,31561,31605,31607,31606,31601,31567,31600,31603,31569,31602,31553,31552,31550,31557,31558,31542,31541,31544,31543,31540,31546,31545,31548,31547,31490,31491,31498,31497,31532,31494,31496,31495,31539,31538,31535,31536,31481,31487,31520,31486,31489,31522,31488,31521,31483,31485,31527,31529,31524,31523,31526,31525	
18718,18724	95	18775,18655,18776,18770,18772,18657,18658,18784,18664,18665,18780,18660,18781,18708,18704,18705,18706,18707,18700,18667,18788,18669,18702,18703,18752,18753,18754,18758,18762,18763,18764,18765,18760,18761,18766,18767,18768,18769,18696,18730,18698,18731,18699,18732,18692,18693,18694,18695,18690,18691,18738,18739,18733,18734,18735,18736,18740,18742,18743,18748,18745,18674,18675,18676,18710,18677,18671,18672,18719,18715,18716,18717,18711,18678,18712,18713,18685,18686,18687,18720,18688,18721,18681,18682,18683,18684,18680,18726,18727,18728,18729,18689,18722,18723,18725	
31529,31541	94	31509,31591,31590,31597,31596,31599,31510,31598,31593,31592,31595,31594,31517,31516,31519,31518,31512,31633,31515,31636,31514,31586,31585,31500,31588,31587,31582,31581,31583,31508,31507,31502,31501,31504,31574,31577,31576,31570,31573,31572,31615,31578,31613,31564,31563,31566,31565,31561,31568,31601,31567,31600,31569,31553,31552,31551,31550,31557,31558,31542,31544,31543,31540,31546,31545,31548,31547,31490,31491,31498,31497,31499,31532,31494,31496,31495,31539,31538,31535,31536,31481,31487,31520,31486,31489,31522,31488,31521,31483,31485,31527,31524,31523,31525	
18717,18720	93	18774,18775,18655,18776,18770,18772,18777,18657,18778,18658,18784,18785,18665,18666,18780,18781,18782,18662,18709,18705,18706,18707,18668,18789,18703,18751,18752,18753,18754,18759,18756,18757,18758,18762,18763,18764,18765,18760,18761,18766,18767,18768,18769,18696,18697,18730,18698,18731,18699,18732,18692,18693,18695,18690,18691,18737,18738,18739,18734,18735,18736,18740,18741,18742,18743,18748,18749,18745,18747,18676,18710,18670,18791,18671,18673,18719,18718,18711,18679,18712,18714,18685,18688,18721,18681,18683,18726,18727,18728,18729,18689,18722,18724	
31517,31541	92	31509,31591,31590,31597,31596,31599,31510,31598,31593,31592,31595,31594,31516,31519,31518,31512,31515,31636,31514,31586,31585,31500,31588,31587,31582,31581,31583,31505,31508,31507,31502,31501,31504,31574,31577,31576,31570,31573,31572,31615,31578,31564,31563,31566,31565,31561,31568,31601,31567,31600,31569,31553,31552,31551,31550,31557,31558,31542,31544,31543,31540,31546,31545,31548,31547,31490,31491,31498,31497,31532,31494,31496,31495,31539,31538,31535,31536,31481,31487,31520,31486,31489,31522,31488,31521,31483,31485,31527,31529,31524,31523,31525	
18685,18720	91	18774,18655,18770,18772,18777,18657,18778,18658,18665,18666,18660,18782,18662,18709,18705,18706,18707,18668,18789,18701,18669,18703,18751,18752,18753,18754,18759,18756,18757,18758,18762,18763,18764,18765,18760,18761,18766,18767,18768,18769,18696,18697,18730,18698,18731,18699,18732,18692,18693,18695,18690,18691,18737,18738,18739,18734,18735,18736,18740,18741,18742,18743,18748,18749,18745,18747,18676,18798,18710,18670,18791,18671,18673,18719,18717,18718,18711,18679,18712,18714,18688,18721,18681,18683,18726,18727,18728,18729,18689,18722,18724	
18708,18738	90	18775,18655,18776,18770,18772,18657,18658,18784,18664,18785,18665,18780,18660,18781,18704,18705,18706,18707,18700,18667,18701,18669,18702,18703,18752,18753,18754,18758,18762,18763,18764,18765,18760,18761,18766,18767,18768,18769,18696,18698,18699,18692,18693,18694,18695,18690,18691,18739,18735,18736,18740,18742,18743,18748,18745,18674,18675,18676,18677,18710,18671,18672,18719,18715,18716,18717,18718,18678,18711,18712,18713,18714,18685,18686,18687,18688,18721,18681,18682,18683,18684,18680,18726,18727,18728,18729,18689,18722,18723,18724	
